Date,Volatility
2021-05-13,25.124155132486226
2021-05-14,25.163689658868243
2021-05-17,24.865650646273604
2021-05-18,24.81187688272259
2021-05-19,24.81181103009938
2021-05-20,24.876749679815006
2021-05-21,24.86893220669646
2021-05-24,24.74038407020955
2021-05-25,24.703950140011287
2021-05-26,24.697816358369284
2021-05-27,24.68800089924711
2021-05-28,19.014673870740026
2021-06-01,18.999687448250697
2021-06-02,18.84535692667757
2021-06-03,18.887274919278596
2021-06-04,18.89695915380683
2021-06-07,17.527429327467374
2021-06-08,17.27586788868846
2021-06-09,17.288381528907834
2021-06-10,17.239992255064056
2021-06-11,17.150346287515227
2021-06-14,17.24771041708771
2021-06-15,17.139895111168222
2021-06-16,17.141017704797985
2021-06-17,17.18683565327912
2021-06-18,17.063723788261967
2021-06-21,17.04930446938398
2021-06-22,17.202965289680545
2021-06-23,17.22461392594167
2021-06-24,17.259833411791153
2021-06-25,17.323903768872466
2021-06-28,17.355388845753634
2021-06-29,17.294601591325602
2021-06-30,17.281732950408106
2021-07-01,17.155788890073882
2021-07-02,17.102114888970675
2021-07-06,17.121997580027845
2021-07-07,17.093209197651362
2021-07-08,16.978016976268787
2021-07-09,17.001568667561834
2021-07-12,16.216966130232173
2021-07-13,16.11774845696251
2021-07-14,16.14141256550293
2021-07-15,15.480746400780834
2021-07-16,15.462924660275675
2021-07-19,15.460099166089613
2021-07-20,15.040727992985609
2021-07-21,15.379934654544297
2021-07-22,15.37747325242907
2021-07-23,15.376738088290793
2021-07-26,15.378130362068354
2021-07-27,14.896344263658753
2021-07-28,14.826830237287462
2021-07-29,14.70647533940255
2021-07-30,14.540380929477015
2021-08-02,14.295342246341821
2021-08-03,13.8788784252311
2021-08-04,13.898900691640307
2021-08-05,13.926074010776393
2021-08-06,13.951663943622275
2021-08-09,13.859996990853347
2021-08-10,13.460507159961873
2021-08-11,13.471608720980674
2021-08-12,13.451538749273482
2021-08-13,13.485311416145104
2021-08-16,13.414295676358032
2021-08-17,13.415356920320542
2021-08-18,13.425071098401528
2021-08-19,14.054683415121033
2021-08-20,13.839771885754319
2021-08-23,13.786060113531931
2021-08-24,13.776879673347928
2021-08-25,13.742416919908676
2021-08-26,13.722273933726711
2021-08-27,11.405412659456946
2021-08-30,11.46607553309414
2021-08-31,11.447678965145073
2021-09-01,11.613017203321293
2021-09-02,11.600277895974793
2021-09-03,11.60146011106999
2021-09-07,11.871073344095626
2021-09-08,11.854889411045486
2021-09-09,11.917670308830367
2021-09-10,11.839273527549995
2021-09-13,11.86337406915146
2021-09-14,12.047848656283595
2021-09-15,12.04935692758579
2021-09-16,11.48582146839229
2021-09-17,11.388765891166432
2021-09-20,11.459191922020487
2021-09-21,11.473135764618716
2021-09-22,11.758469904000457
2021-09-23,11.707783306091537
2021-09-24,11.68836798412767
2021-09-27,11.689469105962743
2021-09-28,11.511633739981496
2021-09-29,11.72043268197192
2021-09-30,11.811274106035203
2021-10-01,11.801705153552913
2021-10-04,11.94351627086972
2021-10-05,12.901796443776828
2021-10-06,12.89978134685937
2021-10-07,12.937225055120544
2021-10-08,12.935854368929437
2021-10-11,12.789214247876135
2021-10-12,12.777534945311839
2021-10-13,12.784494941761231
2021-10-14,12.768427035402677
2021-10-15,12.716249660038311
2021-10-18,12.77688120112341
2021-10-19,12.777623912612682
2021-10-20,12.863385076309115
2021-10-21,13.374074931113093
2021-10-22,13.450317545388952
2021-10-25,13.440482394824805
2021-10-26,13.463269849993123
2021-10-27,13.470455608260062
2021-10-28,13.383137496155411
2021-10-29,13.535424448512229
2021-11-01,13.617799277551937
2021-11-02,13.56524014317571
2021-11-03,13.598458967846364
2021-11-04,13.972761961825864
2021-11-05,14.403503376466261
2021-11-08,14.39739909752811
2021-11-09,14.404413539823027
2021-11-10,14.443484793783682
2021-11-11,14.458277322183022
2021-11-12,14.824937352052908
2021-11-15,14.827222922812444
2021-11-16,14.855569568406397
2021-11-17,14.855495934113764
2021-11-18,14.91040474174175
2021-11-19,14.882089688347172
2021-11-22,14.99437345549121
2021-11-23,15.02866912085348
2021-11-24,15.027069053242743
2021-11-26,14.609670244335799
2021-11-29,14.605814584714242
2021-11-30,15.047835678515426
2021-12-01,15.590025520805503
2021-12-02,15.59296327854832
2021-12-03,15.799068987239506
2021-12-06,15.833996304890125
2021-12-07,15.940223269597093
2021-12-08,15.926440925870391
2021-12-09,16.16875928165376
2021-12-10,16.132622299303723
2021-12-13,16.137842881689597
2021-12-14,16.1562000782165
2021-12-15,16.185822079656386
2021-12-16,16.351202968750933
2021-12-17,16.354693816378404
2021-12-20,16.380050195561072
2021-12-21,16.446601128186643
2021-12-22,16.50091480344172
2021-12-23,16.5023012948483
2021-12-27,16.501309015900677
2021-12-28,16.026650769937493
2021-12-29,16.020845235167233
2021-12-30,15.986248932297856
2021-12-31,16.076331833543705
2022-01-03,16.06222980289219
2022-01-04,16.098326422874816
2022-01-05,16.552728074157898
2022-01-06,16.697186069715393
2022-01-07,16.83255658311391
2022-01-10,16.672549484886275
2022-01-11,16.631369726539567
2022-01-12,16.6355551426187
2022-01-13,16.715393511268122
2022-01-14,16.775140326228108
2022-01-18,16.948205620550088
2022-01-19,16.983986669924516
2022-01-20,16.97570436188652
2022-01-21,29.69562634109716
2022-01-24,29.748757658281555
2022-01-25,30.15248132330476
2022-01-26,30.16403210632253
2022-01-27,31.09193144946389
2022-01-28,31.092338243286648
2022-01-31,32.80749023801281
2022-02-01,33.568814246261894
2022-02-02,34.091398770216486
2022-02-03,34.50766183679065
2022-02-04,34.52450640456869
